name, classification, genre, language, year, country, duration, rating
The Lord of the rings, G, Action Drama, English, 2001, United States of America, 178, 8.9
Cobra, NC17, Action Thriller, English, 1986, United States of America, 87, 5.8
Cidade de Deus, R, Crime Drama, Portuguese, 2002, Brazil, 130,8.6
Parasite, R, Comedy Drama Thriller, Korean, 2019, South Korea,  132, 8.5
The Terminator, NC17, Action Thriller, English, 1984, United States of America, 107, 8.1
The Shawshank Redemption, PG13, Drama, English, 1994, United States of America, 142, 9.3
Carandiru, PG13, Crime Drama, Portuguese, 2003, Brazil, 145, 7.3
The Dark Knight, PG13, Action Crime Drama Thriller, English, 2008, United States of America, 143, 9.1
Pulp Fiction, R, Crime Drama,English, 1994, United States of America, 154, 8.9
The Good the Bad and the Ugly, R, Adventure Western, English, 1966, United States of America, 178, 8.8
Fight Club, R, Drama, English, 1999, United States of America, 139, 8.8
